@relation TitanicSurvival-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute survived {yes,no}
@attribute sex {female,male}
@attribute age {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24.5,25,26,27,28,29,30,30.5,31,32,32.5,33,34,34.5,35,36,36.5,37,38,38.5,39,40,40.5,41,42,43,44,45,45.5,46,47,48,49,50,51,52,53,54,55,55.5,56,57,58,59,60,60.5,61,62,63,64,65,66,67,70,70.5,71,74,76,80}
@attribute passengerClass {1st,2nd,3rd}

@data
yes,female,29,1st
no,female,2,1st
no,male,30,1st
no,female,25,1st
yes,male,48,1st
yes,female,63,1st
no,male,39,1st
yes,female,53,1st
no,male,71,1st
no,male,47,1st
yes,female,18,1st
yes,female,24,1st
yes,female,26,1st
yes,male,80,1st
no,male,24,1st
yes,female,50,1st
yes,female,32,1st
no,male,36,1st
yes,male,37,1st
yes,female,47,1st
yes,male,26,1st
yes,female,42,1st
yes,female,29,1st
no,male,25,1st
yes,male,25,1st
yes,female,19,1st
yes,female,35,1st
yes,male,28,1st
no,male,45,1st
yes,male,40,1st
yes,female,30,1st
yes,female,58,1st
no,male,42,1st
yes,female,45,1st
yes,female,22,1st
no,male,41,1st
no,male,48,1st
yes,female,44,1st
yes,female,59,1st
yes,female,60,1st
yes,female,41,1st
no,male,45,1st
yes,male,42,1st
yes,female,53,1st
yes,female,58,1st
no,male,33,1st
no,male,28,1st
no,male,17,1st
yes,male,11,1st
yes,female,14,1st
yes,male,36,1st
yes,female,36,1st
no,male,49,1st
no,male,36,1st
yes,female,76,1st
no,male,46,1st
yes,female,47,1st
yes,male,27,1st
yes,female,33,1st
yes,female,36,1st
yes,female,30,1st
yes,male,45,1st
no,male,27,1st
yes,female,26,1st
yes,female,22,1st
no,male,47,1st
yes,female,39,1st
no,male,37,1st
yes,female,64,1st
yes,female,55,1st
no,male,70,1st
yes,female,36,1st
yes,female,64,1st
no,male,39,1st
yes,female,38,1st
yes,male,51,1st
yes,male,27,1st
yes,female,33,1st
no,male,31,1st
yes,female,27,1st
yes,male,31,1st
yes,female,17,1st
yes,male,53,1st
yes,male,4,1st
yes,female,54,1st
no,male,50,1st
yes,female,27,1st
yes,female,48,1st
yes,female,48,1st
yes,male,49,1st
no,male,39,1st
yes,female,23,1st
yes,female,38,1st
yes,female,54,1st
no,female,36,1st
yes,male,36,1st
no,male,30,1st
yes,female,24,1st
yes,female,28,1st
yes,female,23,1st
no,male,19,1st
no,male,64,1st
yes,female,60,1st
yes,female,30,1st
yes,male,50,1st
yes,male,43,1st
yes,female,22,1st
yes,male,60,1st
yes,female,48,1st
no,male,37,1st
yes,female,35,1st
no,male,47,1st
yes,female,35,1st
yes,female,22,1st
yes,female,45,1st
no,male,24,1st
yes,male,49,1st
no,male,71,1st
yes,male,53,1st
yes,female,19,1st
no,male,38,1st
yes,female,58,1st
yes,male,23,1st
yes,female,45,1st
no,male,46,1st
yes,male,25,1st
yes,female,25,1st
yes,male,48,1st
yes,female,49,1st
no,male,45,1st
yes,female,35,1st
no,male,40,1st
yes,male,27,1st
yes,female,24,1st
no,male,55,1st
yes,female,52,1st
no,male,42,1st
no,male,55,1st
yes,female,16,1st
yes,female,44,1st
yes,female,51,1st
no,male,42,1st
yes,female,35,1st
yes,male,35,1st
yes,male,38,1st
yes,female,35,1st
yes,female,38,1st
no,female,50,1st
yes,male,49,1st
no,male,46,1st
no,male,50,1st
no,male,58,1st
no,male,41,1st
yes,female,48,1st
yes,male,42,1st
yes,female,45,1st
no,male,48,1st
yes,female,39,1st
yes,female,49,1st
yes,female,30,1st
yes,male,35,1st
no,male,48,1st
no,male,42,1st
yes,female,55,1st
yes,female,16,1st
yes,female,51,1st
no,male,29,1st
yes,female,21,1st
no,male,30,1st
yes,female,58,1st
yes,female,15,1st
no,male,30,1st
yes,female,16,1st
yes,male,48,1st
no,male,19,1st
yes,female,18,1st
yes,female,24,1st
no,male,46,1st
no,male,54,1st
yes,male,36,1st
no,male,28,1st
yes,female,48,1st
no,male,65,1st
no,male,44,1st
yes,female,33,1st
yes,female,37,1st
yes,male,30,1st
no,male,55,1st
no,male,47,1st
no,male,37,1st
yes,female,31,1st
yes,female,23,1st
no,male,58,1st
yes,female,19,1st
no,male,64,1st
yes,female,39,1st
yes,male,48,1st
yes,female,22,1st
no,male,65,1st
no,male,48,1st
no,male,23,1st
no,male,29,1st
yes,female,22,1st
no,male,18,1st
yes,female,17,1st
yes,female,30,1st
yes,male,52,1st
no,male,47,1st
yes,female,56,1st
no,male,38,1st
yes,male,48,1st
no,male,22,1st
no,male,48,1st
yes,female,43,1st
no,male,31,1st
yes,male,45,1st
no,male,48,1st
yes,female,33,1st
no,male,46,1st
no,male,36,1st
yes,female,33,1st
no,male,55,1st
yes,female,54,1st
no,male,33,1st
yes,male,13,1st
yes,female,18,1st
yes,female,21,1st
no,male,61,1st
yes,female,48,1st
yes,male,48,1st
yes,female,24,1st
yes,male,48,1st
yes,female,35,1st
yes,female,30,1st
yes,male,34,1st
yes,female,40,1st
yes,male,35,1st
no,male,50,1st
yes,female,39,1st
yes,male,56,1st
yes,male,28,1st
no,male,56,1st
no,male,56,1st
no,male,24,1st
no,male,48,1st
yes,female,18,1st
yes,male,24,1st
yes,female,23,1st
yes,male,6,1st
yes,male,45,1st
yes,female,40,1st
no,male,57,1st
yes,female,48,1st
yes,male,32,1st
no,male,62,1st
yes,male,54,1st
yes,female,43,1st
yes,female,52,1st
no,male,48,1st
yes,female,62,1st
no,male,67,1st
no,female,63,1st
no,male,61,1st
yes,female,48,1st
yes,female,18,1st
no,male,52,1st
yes,female,39,1st
yes,male,48,1st
yes,female,48,1st
no,male,49,1st
yes,male,17,1st
yes,female,39,1st
yes,female,48,1st
yes,male,31,1st
no,male,40,1st
no,male,61,1st
no,male,47,1st
yes,female,35,1st
no,male,64,1st
yes,female,60,1st
no,male,60,1st
no,male,54,1st
no,male,21,1st
yes,female,55,1st
yes,female,31,1st
no,male,57,1st
yes,female,45,1st
no,male,50,1st
no,male,27,1st
yes,female,50,1st
yes,female,21,1st
no,male,51,1st
yes,male,21,1st
no,male,48,1st
yes,female,31,1st
yes,male,48,1st
no,male,62,1st
yes,female,36,1st
no,male,30,2nd
yes,female,28,2nd
no,male,30,2nd
no,male,18,2nd
no,male,25,2nd
no,male,34,2nd
yes,female,36,2nd
no,male,57,2nd
no,male,18,2nd
no,male,23,2nd
yes,female,36,2nd
no,male,28,2nd
no,male,51,2nd
yes,male,32,2nd
yes,female,19,2nd
no,male,28,2nd
yes,male,1,2nd
yes,female,4,2nd
yes,female,12,2nd
yes,female,36,2nd
yes,male,34,2nd
yes,female,19,2nd
no,male,23,2nd
no,male,26,2nd
no,male,42,2nd
no,male,27,2nd
yes,female,24,2nd
yes,female,15,2nd
no,male,60,2nd
yes,female,40,2nd
yes,female,20,2nd
no,male,25,2nd
yes,female,36,2nd
no,male,25,2nd
no,male,42,2nd
yes,female,42,2nd
yes,male,26,2nd
yes,female,22,2nd
yes,female,35,2nd
no,male,48,2nd
no,male,19,2nd
no,female,44,2nd
no,male,54,2nd
no,male,52,2nd
no,male,37,2nd
no,female,29,2nd
yes,female,25,2nd
yes,female,45,2nd
no,male,29,2nd
yes,female,28,2nd
no,male,29,2nd
no,male,28,2nd
yes,male,24,2nd
yes,female,8,2nd
no,male,31,2nd
yes,female,31,2nd
yes,female,22,2nd
no,female,30,2nd
no,female,48,2nd
no,male,21,2nd
no,male,48,2nd
yes,male,8,2nd
no,male,18,2nd
yes,female,48,2nd
yes,female,28,2nd
no,male,32,2nd
no,male,17,2nd
no,male,29,2nd
yes,female,24,2nd
no,male,25,2nd
no,male,18,2nd
yes,female,18,2nd
yes,female,34,2nd
no,male,54,2nd
yes,male,8,2nd
no,male,42,2nd
yes,female,34,2nd
yes,female,27,2nd
yes,female,30,2nd
no,male,23,2nd
no,male,21,2nd
no,male,18,2nd
no,male,40,2nd
yes,female,29,2nd
no,male,18,2nd
no,male,36,2nd
no,male,48,2nd
no,female,38,2nd
no,male,35,2nd
no,male,38,2nd
no,male,34,2nd
yes,female,34,2nd
no,male,16,2nd
no,male,26,2nd
no,male,47,2nd
no,male,21,2nd
no,male,21,2nd
no,male,24,2nd
no,male,24,2nd
no,male,34,2nd
no,male,30,2nd
no,male,52,2nd
no,male,30,2nd
yes,female,24,2nd
no,male,44,2nd
yes,female,6,2nd
no,male,28,2nd
yes,male,62,2nd
no,male,30,2nd
yes,female,7,2nd
no,male,43,2nd
yes,female,45,2nd
yes,female,24,2nd
